C, r, R, R, L, r, R, R, R, L, R, R		 at 	-0.097181255	
C, r, R, R, L, r, R, R, R, L, R, R	0	 at 	-0.097183924			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, L, R, L	0	 at 	-0.097187849			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, L, R, L		 at 	-0.097189419	
C, r, R, R, L, r, R, R, R, L, L, L		 at 	-0.097206532	
C, r, R, R, L, r, R, R, R, L, L, L	0	 at 	-0.097207788			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, L, L, R	0	 at 	-0.0972103			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, L, L, R		 at 	-0.09721187	
C, r, R, R, L, r, R, R, R, R, L, R		 at 	-0.09727624	
C, r, R, R, L, r, R, R, R, R, L, R	0	 at 	-0.097278281			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, R, L, L	0	 at 	-0.097281735			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, R, L, L		 at 	-0.097283305	
C, r, R, R, L, r, R, R, R, R, R, L		 at 	-0.097309367	
C, r, R, R, L, r, R, R, R, R, R, L	0	 at 	-0.097312193			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, R, R, R	0	 at 	-0.097319258			PREZERO after 12 iterates
C, r, R, R, L, r, R, R, R, R, R, R		 at 	-0.097324282	
C, r, R, R, L, L, R, R, R, R, R, R		 at 	-0.098126395	
C, r, R, R, L, L, R, R, R, R, R, R	0	 at 	-0.09812718			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, R, R, L	0	 at 	-0.098128436			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, R, R, L		 at 	-0.098128907	
C, r, R, R, L, L, R, R, R, R, L, L		 at 	-0.098133146	
C, r, R, R, L, L, R, R, R, R, L, L	0	 at 	-0.09813346			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, R, L, R	0	 at 	-0.098133931			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, R, L, R		 at 	-0.098134245	
C, r, R, R, L, L, R, R, R, L, L, R		 at 	-0.098142723	
C, r, R, R, L, L, R, R, R, L, L, R	0	 at 	-0.09814288			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, L, L, L	0	 at 	-0.098143194			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, L, L, L		 at 	-0.098143351	
C, r, R, R, L, L, R, R, R, L, R, L		 at 	-0.098145078	
C, r, R, R, L, L, R, R, R, L, R, L	0	 at 	-0.098145235			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, L, R, R	0	 at 	-0.098145706			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, R, L, R, R		 at 	-0.09814602	
C, r, R, R, L, L, R, R, R, r, R, R		 at 	-0.098155126	
C, r, R, R, L, L, R, R, L, r, R, R		 at 	-0.098157795	
C, r, R, R, L, L, R, R, L, L, R, R		 at 	-0.098164703	
C, r, R, R, L, L, R, R, L, L, R, R	0	 at 	-0.09816486			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, L, L, R, L	0	 at 	-0.098165174			PREZERO after 12 iterates
C, r, R, R, L, L, R, R, L, L, R, L		 at 	-0.098165331	
C, r, R, R, L, L, R, R, L, L, L, L		 at 	-0.098166273	
