C, r, R, R, R, R, L, R, L, R, R, L, R, L, R		 at 	-0.093711398	
C, r, R, R, R, R, L, R, L, R, L, L, R, L, R		 at 	-0.093714224	
C, r, R, R, R, R, L, R, L, R, L, L, L, L, L		 at 	-0.093714381	
C, r, R, R, R, R, L, R, L, R, L, R, L, r, R		 at 	-0.093715166	
C, r, R, R, R, R, L, R, L, R, L, R, R, L, R	0	 at 	-0.093715323			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, L, R, L, R, R, R, R		 at 	-0.09371548	
C, r, R, R, R, R, L, R, L, R, r, R, R, R, R		 at 	-0.093718934	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R		 at 	-0.093719562	
C, r, R, R, R, R, L, R, L, L, L, L, r, R, R		 at 	-0.093723644	
C, r, R, R, R, R, L, R, L, L, L, L, L, R, L		 at 	-0.093723801	
C, r, R, R, R, R, L, R, L, L, R, R, r, R, R		 at 	-0.093726784	
C, r, R, R, R, R, L, R, L, L, R, R, L, R, R		 at 	-0.093726941	
C, r, R, R, R, R, L, R, L, L, R, R, R, L, r		 at 	-0.093727412	
C, r, R, R, R, R, L, R, L, L, R, R, R, R, R		 at 	-0.093727569	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R		 at 	-0.0937406	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R	0	 at 	-0.093741071			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L	0	 at 	-0.093741699			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L		 at 	-0.09374217	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L		 at 	-0.093743583	
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L	0	 at 	-0.093744054			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R	0	 at 	-0.093744682			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, R		 at 	-0.093745153	
C, r, R, R, R, R, L, R, R, L, R, R, R, R, R		 at 	-0.09376101	
C, r, R, R, R, R, L, R, R, L, R, R, R, R, R		 at 	-0.093761167	
C, r, R, R, R, R, L, R, R, L, R, L, L, r, R		 at 	-0.093763208	
C, r, R, R, R, R, L, R, R, L, R, L, R, L, L		 at 	-0.093763365	
C, r, R, R, R, R, L, R, R, L, L, L, R, R, R		 at 	-0.093766191	
C, r, R, R, R, R, L, R, R, L, L, L, R, R, L		 at 	-0.093766348	
C, r, R, R, R, R, L, R, R, L, L, R, r, R, R		 at 	-0.09376729	
C, r, R, R, R, R, L, R, R, L, L, R, L, R, R		 at 	-0.093767447	
C, r, R, R, R, R, L, R, R, L, r, R, R, R, R		 at 	-0.093773413	
C, r, R, R, R, R, L, R, R, R, r, R, R, R, R		 at 	-0.093774669	
C, r, R, R, R, R, L, R, R, R, L, R, L, L, R		 at 	-0.093782205	
C, r, R, R, R, R, L, R, R, R, L, R, L, R, L		 at 	-0.093782362	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R		 at 	-0.093783461	
C, r, R, R, R, R, L, R, R, R, L, L, L, R, R		 at 	-0.093783618	
C, r, R, R, R, R, L, R, R, R, L, L, R, r, R		 at 	-0.093783932	
C, r, R, R, R, R, L, R, R, R, L, L, R, L, R		 at 	-0.093784089	
C, r, R, R, R, R, L, R, R, R, R, L, R, R, R		 at 	-0.093790055	
C, r, R, R, R, R, L, R, R, R, R, L, R, R, L		 at 	-0.093790212	
C, r, R, R, R, R, L, R, R, R, R, L, L, L, r		 at 	-0.093791154	
C, r, R, R, R, R, L, R, R, R, R, L, L, R, L		 at 	-0.093791311	
C, r, R, R, R, R, L, R, R, R, R, R, L, L, r		 at 	-0.093794294	
C, r, R, R, R, R, L, R, R, R, R, R, L, L, L		 at 	-0.093794451	
C, r, R, R, R, R, L, R, R, R, R, R, R, L, R		 at 	-0.093795707	
C, r, R, R, R, R, L, R, R, R, R, R, R, L, L		 at 	-0.093795864	
C, r, R, R, R, R, L, R, R, R, R, R, R, R, L		 at 	-0.093796492	
C, r, R, R, R, R, L, R, R, R, R, R, R, R, L	0	 at 	-0.093796649			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, R, R, R, R, R, R, R	0	 at 	-0.093796806			PREZERO after 15 iterates
C, r, R, R, R, R, L, R, R, R, R, R, R, R, R		 at 	-0.093796963	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R		 at 	-0.094312394	
C, r, R, R, R, R, r, R, R, R, R, R, R, R, R	0	 at 	-0.094313336			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, R, L	0	 at 	-0.094314278			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, R, L		 at 	-0.094314749	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, L		 at 	-0.094318517	
C, r, R, R, R, R, r, R, R, R, R, R, R, L, L	0	 at 	-0.094318831			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, L, R	0	 at 	-0.094319302			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, R, L, R		 at 	-0.094319459	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, R		 at 	-0.094327309	
C, r, R, R, R, R, r, R, R, R, R, R, L, L, R	0	 at 	-0.094327623			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, L, R	0	 at 	-0.09432778			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, L, L		 at 	-0.094327937	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, L		 at 	-0.094329821	
C, r, R, R, R, R, r, R, R, R, R, R, L, R, L	0	 at 	-0.094329978			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R	0	 at 	-0.094330292			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, R, L, R, R		 at 	-0.094330606	
C, r, R, R, R, R, r, R, R, R, R, L, L, R, R		 at 	-0.094350545	
C, r, R, R, R, R, r, R, R, R, R, L, L, R, R	0	 at 	-0.094350702			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, L, L, R, L	0	 at 	-0.094351016			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, L, L, R, L		 at 	-0.094351173	
C, r, R, R, R, R, r, R, R, R, R, L, L, L, L		 at 	-0.094352429	
C, r, R, R, R, R, r, R, R, R, R, L, L, L, L	0	 at 	-0.094352586			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, L, L, L, R	0	 at 	-0.094352743			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, L, L, L, R		 at 	-0.0943529	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, R		 at 	-0.094357924	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, R	0	 at 	-0.094358081			PREZERO after 15 iterates
C, r, R, R, R, R, r, R, R, R, R, L, R, L, L	0	 at 	-0.094358238			PREZERO after 15 iterates
