C, r, R, L, R, L, L, L, R, L		 at 	-0.10853314	
C, r, R, L, R, L, L, L, L, L		 at 	-0.10853785	
C, r, R, L, R, L, L, L, L, L	0	 at 	-0.108538164			PREZERO after 10 iterates
C, r, R, L, R, L, L, L, L, R	0	 at 	-0.108538792			PREZERO after 10 iterates
C, r, R, L, R, L, L, L, L, R		 at 	-0.108539263	
C, r, R, L, R, L, L, L, r, R		 at 	-0.1085457	
C, r, R, L, R, L, L, R, r, R		 at 	-0.108551509	
C, r, R, L, R, L, L, R, L, R		 at 	-0.108559202	
C, r, R, L, R, L, L, R, L, R	0	 at 	-0.10855983			PREZERO after 10 iterates
C, r, R, L, R, L, L, R, L, L	0	 at 	-0.108560772			PREZERO after 10 iterates
C, r, R, L, R, L, L, R, L, L		 at 	-0.108561086	
C, r, R, L, R, L, L, R, R, L		 at 	-0.108568465	
C, r, R, L, R, L, L, R, R, L	0	 at 	-0.108569093			PREZERO after 10 iterates
C, r, R, L, R, L, L, R, R, R	0	 at 	-0.108571134			PREZERO after 10 iterates
C, r, R, L, R, L, L, R, R, R		 at 	-0.10857239	
C, r, R, L, R, L, r, R, R, R		 at 	-0.108670358	
C, r, R, L, R, L, r, R, R, R	0	 at 	-0.10867444			PREZERO after 10 iterates
C, r, R, L, R, L, r, R, R, L	0	 at 	-0.108681976			PREZERO after 10 iterates
C, r, R, L, R, L, r, R, R, L		 at 	-0.108684488	
C, r, R, L, R, L, r, R, L, L		 at 	-0.108729704	
C, r, R, L, R, L, r, R, L, L	0	 at 	-0.108733786			PREZERO after 10 iterates
C, r, R, L, R, L, r, R, L, R	0	 at 	-0.108749172			PREZERO after 10 iterates
C, r, R, L, R, L, r, R, L, R		 at 	-0.108769896	
C, r, R, L, R, R, r, R, L, R		 at 	-0.108770838	
