C, r, R, R, R, R, L, L, R, L, R, r, R, R, R, R, R, L		 at 	-0.093564132	
C, r, R, R, R, R, L, L, R, L, R, L, r, R, R, R, R, R		 at 	-0.093565545	
C, r, R, R, R, R, L, L, R, L, R, L, r, R, R, R, R, L		 at 	-0.093565702	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R, R, R		 at 	-0.093578262	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R, R, R	0	 at 	-0.093578419			PREZERO after 18 iterates
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R, L, L		 at 	-0.093578576	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, L, L, R, r		 at 	-0.09358046	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, L, L, R, L		 at 	-0.093580617	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, r, R, R		 at 	-0.093581559	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, L, R, L		 at 	-0.093581716	
C, r, R, R, R, R, L, L, L, L, R, R, R, L, L, r, R, R		 at 	-0.093592706	
C, r, R, R, R, R, L, L, L, L, R, R, L, r, R, R, R, R		 at 	-0.093592863	
C, r, R, R, R, R, L, L, L, L, R, R, r, R, R, R, R, R		 at 	-0.093593177	
C, r, R, R, R, R, L, L, L, L, R, R, r, R, R, R, R, L		 at 	-0.093593334	
C, r, R, R, R, R, L, L, L, L, R, r, R, R, R, R, R, R		 at 	-0.093594433	
C, r, R, R, R, R, L, L, L, L, R, r, R, R, R, R, R, L		 at 	-0.09359459	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, L, r, R		 at 	-0.093599143	
C, r, R, R, R, R, L, L, L, R, r, R, R, R, R, L, L, L		 at 	-0.0935993	
C, r, R, R, R, R, L, L, L, R, L, R, r, R, R, R, R, R		 at 	-0.093603068	
C, r, R, R, R, R, L, L, L, R, L, L, r, R, R, R, R, L		 at 	-0.093603225	
C, r, R, R, R, R, L, L, L, R, L, L, L, r, R, R, R, R		 at 	-0.093603539	
C, r, R, R, R, R, L, L, L, R, L, L, R, R, L, R, R, L		 at 	-0.093603696	
C, r, R, R, R, R, L, L, L, R, R, R, R, L, r, R, R, R		 at 	-0.093607935	
C, r, R, R, R, R, L, L, L, R, R, R, R, R, L, L, R, R		 at 	-0.093608092	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.093648755	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R, L		 at 	-0.093648912	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, L, L, R		 at 	-0.09364954	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, L, R, L		 at 	-0.093649697	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R, R, R		 at 	-0.09365425	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R, L, R		 at 	-0.093654564	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, R, L, L		 at 	-0.09365896	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, R, R, R		 at 	-0.093659117	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, R, R, R		 at 	-0.093662257	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, R, R, R		 at 	-0.093662414	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, L, r, R		 at 	-0.093662728	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, L, R, R		 at 	-0.093662885	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, L, R, R		 at 	-0.09366367	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, L, R, R		 at 	-0.093663827	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R, L, r		 at 	-0.093664455	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R, R, L		 at 	-0.093664612	
C, r, R, R, R, R, L, R, L, R, R, R, r, R, R, R, R, R		 at 	-0.093710456	
C, r, R, R, R, R, L, R, L, R, R, L, r, R, R, R, R, L		 at 	-0.093710613	
C, r, R, R, R, R, L, R, L, R, R, r, R, R, R, R, R, r		 at 	-0.093712811	
