C, r, R, R, R, L, L, L, r, R, R, R, R	0	 at 	-0.095007904			PREZERO after 13 iterates
C, r, R, R, R, L, L, L, r, R, R, R, R		 at 	-0.095009003	
C, r, R, R, R, L, L, L, L, R, R, R, R		 at 	-0.095030826	
C, r, R, R, R, L, L, L, L, R, R, R, R	0	 at 	-0.095030983			PREZERO after 13 iterates
C, r, R, R, R, L, L, L, L, R, R, R, R	0	 at 	-0.09503114			PREZERO after 13 iterates
C, r, R, R, R, L, L, L, L, R, R, R, L		 at 	-0.095031297	
C, r, R, R, R, L, L, L, L, R, R, L, r		 at 	-0.095031768	
C, r, R, R, R, L, L, L, L, R, R, L, L		 at 	-0.095031925	
C, r, R, R, R, L, L, L, L, R, L, L, R		 at 	-0.095033181	
C, r, R, R, R, L, L, L, L, R, L, L, L		 at 	-0.095033338	
C, r, R, R, R, L, L, L, L, R, L, R, r		 at 	-0.095033495	
C, r, R, R, R, L, L, L, L, R, L, R, L		 at 	-0.095033652	
C, r, R, R, R, L, L, L, L, L, L, R, R		 at 	-0.095037106	
C, r, R, R, R, L, L, L, L, L, L, R, L		 at 	-0.095037263	
C, r, R, R, R, L, L, L, L, L, R, R, L		 at 	-0.095038833	
C, r, R, R, R, L, L, L, L, L, R, R, R		 at 	-0.09503899	
C, r, R, R, R, L, L, L, L, r, R, R, R		 at 	-0.095044799	
C, r, R, R, R, L, L, L, R, r, R, R, R		 at 	-0.095046212	
C, r, R, R, R, L, L, L, R, L, R, R, R		 at 	-0.095052649	
C, r, R, R, R, L, L, L, R, L, R, R, R	0	 at 	-0.095052806			PREZERO after 13 iterates
C, r, R, R, R, L, L, L, R, L, R, R, L		 at 	-0.095052963	
C, r, R, R, R, L, L, L, R, L, R, L, r		 at 	-0.095053277	
C, r, R, R, R, L, L, L, R, L, R, L, L		 at 	-0.095053434	
C, r, R, R, R, L, L, L, R, L, L, L, R		 at 	-0.095054533	
C, r, R, R, R, L, L, L, R, L, L, L, R		 at 	-0.09505469	
C, r, R, R, R, L, L, L, R, L, L, R, L		 at 	-0.095055004	
C, r, R, R, R, L, L, L, R, L, L, R, R		 at 	-0.095055161	
C, r, R, R, R, L, L, L, R, R, L, R, R		 at 	-0.095060028	
C, r, R, R, R, L, L, L, R, R, L, R, L		 at 	-0.095060185	
C, r, R, R, R, L, L, L, R, R, L, L, L		 at 	-0.095060656	
C, r, R, R, R, L, L, L, R, R, L, L, R		 at 	-0.095060813	
C, r, R, R, R, L, L, L, R, R, R, L, R		 at 	-0.095062854	
