C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R	0	 at 	-0.093648912			PREZERO after 17 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R, L		 at 	-0.093649069	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, L, L		 at 	-0.09364954	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, L, R		 at 	-0.093649697	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R, R		 at 	-0.09365425	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R, R		 at 	-0.093654407	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, L, L		 at 	-0.093654878	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, L, R		 at 	-0.093655035	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, L, R		 at 	-0.093658332	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, L, L		 at 	-0.093658489	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, R, r		 at 	-0.093658803	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, R, L		 at 	-0.09365896	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R, L		 at 	-0.093664298	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R, L	0	 at 	-0.093664455			PREZERO after 17 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R, R		 at 	-0.093664612	
C, r, R, R, R, R, L, R, L, R, R, R, r, R, R, R, R		 at 	-0.093710456	
C, r, R, R, R, R, L, R, L, R, R, L, r, R, R, R, R		 at 	-0.093710613	
C, r, R, R, R, R, L, R, L, R, R, L, L, r, R, R, R		 at 	-0.093711241	
C, r, R, R, R, R, L, R, L, R, R, L, R, L, R, L, L		 at 	-0.093711398	
C, r, R, R, R, R, L, R, L, R, R, r, R, R, R, R, R		 at 	-0.093712654	
C, r, R, R, R, R, L, R, L, R, R, r, R, R, R, R, R		 at 	-0.093712811	
C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, L, r		 at 	-0.093719091	
