C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, L, R, L	0	 at 	-0.094404867			PREZERO after 19 iterates
C, r, R, R, R, R, r, R, R, R, R, r, R, R, R, R, L, R, R		 at 	-0.094405024	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, L, R, R		 at 	-0.094445844	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, L, R, L		 at 	-0.094446158	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, L, L, L		 at 	-0.094446943	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, L, L, L	0	 at 	-0.0944471			PREZERO after 19 iterates
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, L, L, R		 at 	-0.094447257	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, R, L, R		 at 	-0.094449926	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, R, L, R	0	 at 	-0.094450083			PREZERO after 19 iterates
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, R, L, L		 at 	-0.09445024	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, R, R, L		 at 	-0.094451339	
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, R, R, R	0	 at 	-0.094451653			PREZERO after 19 iterates
C, r, R, R, R, L, r, R, R, R, R, r, R, R, R, R, R, R, R		 at 	-0.094451967	
C, r, R, R, R, L, r, R, R, R, R, L, R, R, R, R, R, L, L		 at 	-0.094487292	
C, r, R, R, R, L, r, R, R, R, R, L, R, R, R, R, L, L, R		 at 	-0.094487449	
C, r, R, R, R, L, r, R, R, R, R, L, R, R, L, r, R, R, R		 at 	-0.094488391	
